numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z,data_hora
126,0.1189,-0.6592,0.5901,164.5954,83.0611,149.2977,26/07/2024-18:00:52
127,0.0645,-0.9062,0.8440,28.4275,-50.3206,81.6336,26/07/2024-18:00:52
128,-0.0356,-0.3472,0.9719,78.7863,47.2061,-16.6489,26/07/2024-18:00:52
129,-0.1074,0.3008,1.0828,250.1298,228.9160,-44.3206,26/07/2024-18:00:52
130,-0.2300,0.7292,0.9563,203.0458,75.5496,-4.1374,26/07/2024-18:00:53
131,-0.3442,0.7505,0.6448,129.9313,42.4275,-2.6641,26/07/2024-18:00:53
132,-0.2263,0.8613,0.4019,-125.4657,-50.6641,34.6031,26/07/2024-18:00:53
133,-0.2705,0.8899,0.7336,-162.9084,-1.0229,15.9771,26/07/2024-18:00:53
134,-0.0840,0.4736,0.8140,-250.1374,-105.4122,63.7786,26/07/2024-18:00:53
135,-0.0093,-0.2300,0.9290,-191.2137,-143.7176,56.8321,26/07/2024-18:00:53
136,0.1550,-0.1648,0.7295,-51.3817,-139.4886,-77.2290,26/07/2024-18:00:53
137,0.3293,-0.1365,0.9036,115.0534,-16.2290,-158.5114,26/07/2024-18:00:53
138,0.3550,-0.0930,1.0144,85.6641,18.6336,-14.5573,26/07/2024-18:00:53
139,0.3027,0.1870,0.9434,54.5573,48.1985,38.1374,26/07/2024-18:00:53
140,0.2209,0.2603,0.9099,-47.0076,-11.3817,29.6870,26/07/2024-18:00:54
141,1.0559,0.2849,1.9999,96.2061,-0.4122,1.3206,26/07/2024-18:00:54
142,0.3667,-0.0674,1.0029,-1.3130,7.6718,3.3817,26/07/2024-18:00:54
143,0.3530,0.0183,0.9663,-0.8779,1.4275,-0.6641,26/07/2024-18:00:54
144,0.3218,-0.0032,0.9963,-2.1145,-6.8550,-7.5496,26/07/2024-18:00:54
145,0.3049,-0.0442,1.0068,-3.8015,-0.4046,-8.9466,26/07/2024-18:00:54
146,0.3154,0.0720,0.9849,2.2137,9.7328,4.3664,26/07/2024-18:00:54
147,0.3230,-0.0518,1.0562,8.7710,27.1908,22.1221,26/07/2024-18:00:54
148,0.3018,-0.0247,1.0261,35.9695,11.0992,-1.8168,26/07/2024-18:00:54
149,0.3799,-0.0186,1.0237,-33.8397,-21.5267,-14.0916,26/07/2024-18:00:54
150,0.2915,0.0327,1.0083,-15.7176,-51.6260,-41.6336,26/07/2024-18:00:55
151,0.4080,-0.0193,1.0447,9.0840,11.1221,25.8855,26/07/2024-18:00:55
152,0.3828,-0.0178,0.9883,7.4275,8.7023,9.0458,26/07/2024-18:00:55
153,0.3718,-0.0374,0.9954,2.3740,13.9237,7.0229,26/07/2024-18:00:55
154,0.3088,-0.0200,1.0117,0.5725,17.0611,7.2061,26/07/2024-18:00:55
155,0.3169,-0.0112,1.0039,0.9695,7.7176,4.0458,26/07/2024-18:00:55
156,0.3132,-0.0029,0.9846,-2.5802,6.3206,-3.1756,26/07/2024-18:00:55
157,0.2996,-0.0166,1.0007,-3.0153,-9.0229,-7.6489,26/07/2024-18:00:55
158,0.2974,-0.0132,1.0078,-1.5573,2.2595,-3.3206,26/07/2024-18:00:55
